id,title,score,popularity,members,favorites,demographics_id,demographics,genresId,genreName,duration,studioId,studioName,rank,rating,source,status,season,scoredBy,producerId,producerName,producerType,episodes,airing,broadcastDay,broadcastTime,broadcastTimezone,airedFrom,airedTo,type
28391,"{'type': 'Default', 'title': 'Ao no Kanata no Four Rhythm'}",6.65,1390,143121,511,[],[],"[24, 30]","['Sci-Fi', 'Sports']",24 min per ep,[3],['Gonzo'],5612,PG-13 - Teens 13 or older,Visual novel,Finished Airing,winter,63252,"[16, 144, 238, 276, 1113, 1334, 1414, 1494, 1495]","['TV Tokyo', 'Pony Canyon', 'AT-X', 'DLE', 'NBCUniversal Entertainment Japan', 'Docomo Anime Store', 'bilibili', 'Kanon Sound', 'Hobibox']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime']",12,False,Tuesdays,02:05,Asia/Tokyo,2016-01-12T00:00:00+00:00,2016-03-29T00:00:00+00:00,TV
2251,"{'type': 'Default', 'title': 'Baccano!'}",8.37,168,852310,22607,[],[],"[1, 4, 7, 37]","['Action', 'Comedy', 'Mystery', 'Supernatural']",24 min per ep,[112],"[""Brain's Base""]",185,R - 17+ (violence & profanity),Light novel,Finished Airing,summer,363125,"[17, 765, 787]","['Aniplex', 'Sakura Create', 'Happinet Pictures']","['anime', 'anime', 'anime']",13,False,Fridays,00:30,Asia/Tokyo,2007-07-27T00:00:00+00:00,2007-11-02T00:00:00+00:00,TV
6347,"{'type': 'Default', 'title': 'Baka to Test to Shoukanjuu'}",7.53,300,605083,5511,[],[],"[4, 22]","['Comedy', 'Romance']",24 min per ep,[300],['SILVER LINK.'],1591,PG-13 - Teens 13 or older,Light novel,Finished Airing,winter,333533,"[104, 108, 619, 1015]","['Lantis', 'Media Factory', 'Cospa', 'T.O Entertainment']","['anime', 'anime', 'anime', 'anime']",13,False,Thursdays,02:20,Asia/Tokyo,2010-01-07T00:00:00+00:00,2010-04-01T00:00:00+00:00,TV
9471,"{'type': 'Default', 'title': 'Baka to Test to Shoukanjuu: Matsuri'}",7.58,1573,121079,110,[],[],[4],['Comedy'],29 min per ep,[300],['SILVER LINK.'],1423,PG-13 - Teens 13 or older,Light novel,Finished Airing,,70352,"[104, 108, 392, 619, 685, 1015, 1488]","['Lantis', 'Media Factory', 'Enterbrain', 'Cospa', 'Kadokawa Contents Gate', 'T.O Entertainment', 'Hakuhodo DY Media Partners']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime']",2,False,,,,2011-02-23T00:00:00+00:00,2011-03-30T00:00:00+00:00,OVA
5081,"{'type': 'Default', 'title': 'Bakemonogatari'}",8.34,82,1312941,47107,[],[],"[7, 22, 37]","['Mystery', 'Romance', 'Supernatural']",25 min per ep,[44],['Shaft'],201,R - 17+ (violence & profanity),Light novel,Finished Airing,summer,692096,"[17, 159]","['Aniplex', 'Kodansha']","['anime', 'anime']",15,False,Fridays,23:00,Asia/Tokyo,2009-07-03T00:00:00+00:00,2010-06-25T00:00:00+00:00,TV
34443,"{'type': 'Default', 'title': 'Baki'}",7.29,572,350035,2182,[27],['Shounen'],[1],['Action'],24 min per ep,[73],['TMS Entertainment'],2565,R - 17+ (violence & profanity),Manga,Finished Airing,,197804,[],[],[],26,False,,,,2018-06-25T00:00:00+00:00,2018-12-17T00:00:00+00:00,ONA
20787,"{'type': 'Default', 'title': 'Black Bullet'}",7.1,161,865525,3651,[],[],"[1, 7, 24]","['Action', 'Mystery', 'Sci-Fi']",24 min per ep,"[290, 1109]","['Kinema Citrus', 'Orange']",3499,R - 17+ (violence & profanity),Light novel,Finished Airing,spring,465812,"[31, 238, 777, 1113]","['Geneon Universal Entertainment', 'AT-X', 'Showgate', 'NBCUniversal Entertainment Japan']","['anime', 'anime', 'anime', 'anime']",13,False,Tuesdays,22:30,Asia/Tokyo,2014-04-08T00:00:00+00:00,2014-07-01T00:00:00+00:00,TV
269,"{'type': 'Default', 'title': 'Bleach'}",7.89,40,1742498,64397,[27],['Shounen'],"[1, 2, 10]","['Action', 'Adventure', 'Fantasy']",24 min per ep,[1],['Pierrot'],740,PG-13 - Teens 13 or older,Manga,Finished Airing,fall,1015444,"[16, 17, 53, 717, 909, 1365]","['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Studio Kelmadick', 'Shueisha']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime']",366,False,Tuesdays,18:00,Asia/Tokyo,2004-10-05T00:00:00+00:00,2012-03-27T00:00:00+00:00,TV
11633,"{'type': 'Default', 'title': 'Blood Lad'}",7.27,271,648168,1988,[42],['Seinen'],"[1, 4, 37]","['Action', 'Comedy', 'Supernatural']",24 min per ep,[112],"[""Brain's Base""]",2671,PG-13 - Teens 13 or older,Manga,Finished Airing,summer,343763,"[113, 460, 464]","['Kadokawa Shoten', 'KlockWorx', 'flying DOG']","['anime', 'anime', 'anime']",10,False,Mondays,00:30,Asia/Tokyo,2013-07-08T00:00:00+00:00,2013-09-09T00:00:00+00:00,TV
31043,"{'type': 'Default', 'title': 'Boku dake ga Inai Machi'}",8.31,30,1902693,45104,[42],['Seinen'],"[7, 37]","['Mystery', 'Supernatural']",23 min per ep,[56],['A-1 Pictures'],227,R - 17+ (violence & profanity),Manga,Finished Airing,winter,1247612,"[17, 53, 113, 169, 315, 1411, 1412, 1496, 1677, 2225]","['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Fuji TV', 'DAX Production', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Lawson', 'Kanetsu Investment', 'C-one']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime']",12,False,Fridays,00:55,Asia/Tokyo,2016-01-08T00:00:00+00:00,2016-03-25T00:00:00+00:00,TV
